model_type,fault_name,frequency,percentage
PC500LC-10R,ventilating sensor+open circuit,25,2.73
PC500LC-10R,engine oil+decrease in quantity,24,2.62
PC500LC-10R,komtrax gps antenna cable+open circuit,24,2.62
PC500LC-10R,ambient press sens low error,20,2.18
PC500LC-10R,rail press low error,20,2.18
PC500LC-10R,coolant+servicing,18,1.97
PC500LC-10R,fan control solenoid valve+open circuit,16,1.75
PC500LC-10R,rear pump oil pressure sensor+defective function,12,1.31
PC500LC-10R,f-o-v aux camera2 image reverse i/p+input signal out of scope,10,1.09
PC500LC-10R,hyd filter bypass valve sensor 1+defective function,10,1.09
PC500LC-10R,rail press sensor high error,10,1.09
PC500LC-10R,throttle sensor low error,10,1.09
PC500LC-10R,travel ppc p.sensor;forward left+defective function,10,1.09
PC500LC-10R,arm dump ppc pressure sensor+defective function,8,0.87
PC500LC-10R,arm in ppc pressure sensor+defective function,8,0.87
PC500LC-10R,eng ne speed sensor error,8,0.87
PC500LC-10R,f-o-v aux camera3 image reverse i/p+input signal out of scope,8,0.87
PC500LC-10R,outer sensor+open circuit,8,0.87
PC500LC-10R,travel neutral solenoid valve+open circuit,8,0.87
PC500LC-10R,water in fuel sensor main or (r)+input signal out of scope,8,0.87
PC500LC-10R,front pump oil pressure sensor+defective function,6,0.66
PC500LC-10R,hydraulic oil temperature sensor+open circuit,6,0.66
PC500LC-10R,throttle sensor high error,6,0.66
PC500LC-10R,ventilation damper+malfunction,6,0.66
PC500LC-10R,blow-by pressure sensor+defective function,4,0.44
PC500LC-10R,boom up ppc pressure sensor+defective function,4,0.44
PC500LC-10R,camera controller can2+communication error (compo line),4,0.44
PC500LC-10R,chg air press sensor low error,4,0.44
PC500LC-10R,pc-epc(r) solenoide valve+open circuit,4,0.44
PC500LC-10R,personal code relay+open circut or short circuit,4,0.44
PC500LC-10R,rail press sensor low error,4,0.44
PC500LC-10R,rail press very low error,4,0.44
PC500LC-10R,swing left ppc pressure sensor+defective function,4,0.44
PC500LC-10R,travel ppc p.sensor;backward left+defective function,4,0.44
PC500LC-10R,travel ppc p.sensor;backward right+defective function,4,0.44
PC500LC-10R,travel ppc p.sensor;forward right+defective function,4,0.44
PC500LC-10R,work equipment lever lock switch+open circuit,4,0.44
PC500LC-10R,2-stage relief solenoid valve+open circuit,3,0.33
PC500LC-10R,2stage back pressure solenoid valve+short circuit,3,0.33
PC500LC-10R,air controller can communication 2+communication error (compo line),2,0.22
PC500LC-10R,ambient press sens high error,2,0.22
PC500LC-10R,boom down ppc pressure sensor+defective function,2,0.22
PC500LC-10R,bucket curl ppc pressure sensor+defective function,2,0.22
PC500LC-10R,bucket dump ppc pressure sensor+defective function,2,0.22
PC500LC-10R,g/p controller output sensor line 1+out put voltage drop,2,0.22
PC500LC-10R,governor and pump controller+malfunction,2,0.22
PC500LC-10R,imv/pcv1 open error,2,0.22
PC500LC-10R,merge-divider ls epc solenoid vlv+open circuit,2,0.22
PC500LC-10R,monitor cntrlr operating lamp+short circuit,2,0.22
PC500LC-10R,swing brake solenoid valve+open circuit,2,0.22
PC500LC-10R,swing motor 2stage relief solenoid+open circuit,2,0.22
PC500LC-10R,swing right ppc pressure sensor+defective function,2,0.22
PC500LC-10R,wind washer motor+short circuit,2,0.22
PC500LC-10R,wiper motor+open circuit,2,0.22
PC70-8,komtrax gps antenna cable+open circuit,56,33.53
PC70-8,wind washer motor+open circuit,48,28.74
PC70-8,swing right ppc pressure sensor+defective function,10,5.99
PC70-8,eng oil press sw error,6,3.59
PC70-8,imv/pcv1 open error,6,3.59
PC70-8,pc-epc(f) solenoide valve+open circuit,6,3.59
PC70-8,rail press high error,6,3.59
PC70-8,rail press low error,6,3.59
PC70-8,throttle sensor high error,6,3.59
PC70-8,travelng ppc pressure presusor sensor+input signal out of scope,5,2.99
PC70-8,engine oil+low oil pressure,4,2.4
PC70-8,g/p controller output power line+source voltage drop,4,2.4
PC70-8,coolant+overheat,2,1.2
PC70-8,rail press very low error,2,1.2
PC850-8R1,komtrax gps antenna cable+open circuit,72,27.07
PC850-8R1,wind washer motor+open circuit,44,16.54
PC850-8R1,engine oil+decrease in quantity,22,8.27
PC850-8R1,coolant+decrease in quantity,21,7.89
PC850-8R1,swing solenoid valve+short circuit,12,4.51
PC850-8R1,throttle sensor high error,10,3.76
PC850-8R1,step light relay+open circuit,8,3.01
PC850-8R1,g/p controller output power line+source voltage drop,6,2.26
PC850-8R1,hyd pump 1 oil pressure sensor+open circuit,6,2.26
PC850-8R1,imv/pcv1 open error,6,2.26
PC850-8R1,swing brake solenoid valve+open circuit,6,2.26
PC850-8R1,eng ne and bkup speed sens error,4,1.5
PC850-8R1,eng ne speed sensor error,4,1.5
PC850-8R1,fan pump epc solenoid valve+open circuit,4,1.5
PC850-8R1,hyd pump epc solenoid valve1+open circuit,4,1.5
PC850-8R1,hyd pump epc solenoid valve2+open circuit,4,1.5
PC850-8R1,2-stage relief solenoid valve+open circuit,3,1.13
PC850-8R1,air cleaner element+clogging,2,0.75
PC850-8R1,alternator+defective charging,2,0.75
PC850-8R1,ambient press sens low error,2,0.75
PC850-8R1,coolant temp sens low error,2,0.75
PC850-8R1,coolant+overheat,2,0.75
PC850-8R1,fuel temp sensor low error,2,0.75
PC850-8R1,hyd pump 2 oil pressure sensor+open circuit,2,0.75
PC850-8R1,j/s differental pressure 2+open circuit,2,0.75
PC850-8R1,j/s differental pressure 2+short circuit,2,0.75
PC850-8R1,pcv2 open error,2,0.75
PC850-8R1,rail press low error,2,0.75
PC850-8R1,rail press sensor high error,2,0.75
PC850-8R1,rail press very low error,2,0.75
PC850-8R1,throttle sensor low error,2,0.75
PC850-8R1,travel speed solenoid valve+open circuit,2,0.75
WA150-5,komtrax gps antenna cable+open circuit,28,23.73
WA150-5,boom angle sensor+input signal out of scope,14,11.86
WA150-5,bottom oil pressure sensor+input signal out of scope,14,11.86
WA150-5,rod oil pressure sensor+input signal out of scope,14,11.86
WA150-5,monitor cntrlr can communicaton 2+communication error (compo line),12,10.17
WA150-5,c terminal signal+eng condition and signal not match,8,6.78
WA150-5,air cleaner (1)+clogging,6,5.08
WA150-5,front accumulator+low oil pressure,6,5.08
WA150-5,panel switch(2)+switch depressed too long,4,3.39
WA150-5,alternator+defective function,2,1.69
WA150-5,coolant+decrease in quantity,2,1.69
WA150-5,coolant+overheat,2,1.69
WA150-5,panel switch(1)+switch depressed too long,2,1.69
WA150-5,panel switch(3)+switch depressed too long,2,1.69
WA150-5,panel switch(4)+switch depressed too long,2,1.69
WA150-6,komtrax gps antenna cable+open circuit,16,20.0
WA150-6,rail press high error,10,12.5
WA150-6,coolant+overheat,6,7.5
WA150-6,eng ne speed sensor error,4,5.0
WA150-6,fuel level sensor+open circuit,4,5.0
WA150-6,hst pump+engine over running,4,5.0
WA150-6,imv/pcv1 open error,4,5.0
WA150-6,inj #1(l#1) open/short error,4,5.0
WA150-6,inj #2(l#2) open/short error,4,5.0
WA150-6,inj #3(l#3) open/short error,4,5.0
WA150-6,inj #4(l#4) open/short error,4,5.0
WA150-6,rail press sensor high error,4,5.0
WA150-6,steering pump+engine over running,4,5.0
WA150-6,forward & reverse lever+open circuit,2,2.5
WA150-6,hst controller power source line+on/off signal doesnt match,2,2.5
WA150-6,rail press low error,2,2.5
WA150-6,tm shift lever+open circuit,2,2.5
WA200-5,komtrax gps antenna cable+open circuit,40,19.42
WA200-5,coolant+decrease in quantity,24,11.65
WA200-5,c terminal signal+eng condition and signal not match,18,8.74
WA200-5,hst controller+communication error (compo line),18,8.74
WA200-5,boom angle sensor+input signal out of scope,14,6.8
WA200-5,bottom oil pressure sensor+input signal out of scope,14,6.8
WA200-5,rod oil pressure sensor+input signal out of scope,14,6.8
WA200-5,coolant+overheat,10,4.85
WA200-5,hst clutch solenoid valve+open circut or short circuit,10,4.85
WA200-5,alternator+defective function,8,3.88
WA200-5,monitor cntrlr can communicaton 2+communication error (compo line),8,3.88
WA200-5,engine oil+decrease in quantity,6,2.91
WA200-5,front accumulator+low oil pressure,6,2.91
WA200-5,hst ep solenoid valve+open circut or short circuit,4,1.94
WA200-5,panel switch(1)+switch depressed too long,4,1.94
WA200-5,panel switch(3)+switch depressed too long,4,1.94
WA200-5,monitor cntrlr battery direct line+source voltage drop,2,0.97
WA200-5,panel switch(4)+switch depressed too long,2,0.97
WA200-6,komtrax gps antenna cable+open circuit,14,31.82
WA200-6,coolant+overheat,10,22.73
WA200-6,coolant+decrease in quantity,4,9.09
WA200-6,tm shift lever+open circuit,4,9.09
WA200-6,water in fuel sensor high error,4,9.09
WA200-6,alternator+defective function,2,4.55
WA200-6,forward & reverse lever+open circuit,2,4.55
WA200-6,komnet datalink timeout error,2,4.55
WA200-6,rail press low error,2,4.55
WA320-5,komtrax gps antenna cable+open circuit,40,62.5
WA320-5,alternator+defective function,8,12.5
WA320-5,transmission oil filter+clogging,8,12.5
WA320-5,coolant+decrease in quantity,6,9.38
WA320-5,front brake oil temperature sensor+open circuit,2,3.12
WA380-6,water in fuel sensor high error,56,20.51
WA380-6,engine oil+decrease in quantity,26,9.52
WA380-6,steering pressure sensor+open circuit,26,9.52
WA380-6,air cleaner (1)+clogging,19,6.96
WA380-6,grid htr relay volt low error,18,6.59
WA380-6,fan pump epc solenoid valve+open circuit,16,5.86
WA380-6,alternator+defective function,14,5.13
WA380-6,coolant+overheat,12,4.4
WA380-6,tm shift lever+open circuit,12,4.4
WA380-6,rail press low error,10,3.66
WA380-6,"ecmv tm 2nd clutch+command curency on, fill signal off",8,2.93
WA380-6,komtrax gps antenna cable+open circuit,8,2.93
WA380-6,parking brake switch+on/off signal doesnt match,8,2.93
WA380-6,pump pc-epc valve+open circuit,6,2.2
WA380-6,t/m valve oil temperature sensor+open circuit,6,2.2
WA380-6,eng oil press sw error,4,1.47
WA380-6,forward & reverse lever+open circuit,4,1.47
WA380-6,hydraulic oil+overheat,4,1.47
WA380-6,c/r eng cntrlr can communication+communication error (compo line),2,0.73
WA380-6,chg air press sensor low error,2,0.73
WA380-6,coolant+decrease in quantity,2,0.73
WA380-6,"ecmv tm 1st clutch+command curency on, fill signal off",2,0.73
WA380-6,eng bkup speed sens phase error,2,0.73
WA380-6,parking brake+defective function,2,0.73
WA380-6,t/m controller output power line+source voltage drop,2,0.73
WA380-6,tm cut off pressure sensor+input signal out of scope,2,0.73
WA380Z-6,komtrax gps antenna cable+open circuit,32,15.38
WA380Z-6,engine oil+decrease in quantity,24,11.54
WA380Z-6,fan pump epc solenoid valve+open circuit,22,10.58
WA380Z-6,water in fuel sensor high error,14,6.73
WA380Z-6,steering pressure sensor+open circuit,12,5.77
WA380Z-6,coolant+overheat,10,4.81
WA380Z-6,"ecmv tm 2nd clutch+command curency on, fill signal off",8,3.85
WA380Z-6,parking brake switch+on/off signal doesnt match,8,3.85
WA380Z-6,c/r eng cntrlr can communication+communication error (compo line),6,2.88
WA380Z-6,hydraulic oil+overheat,6,2.88
WA380Z-6,hydraulic pump oil pressure sensor+open circuit,6,2.88
WA380Z-6,komnet datalink timeout error,6,2.88
WA380Z-6,pump pc-epc valve+open circuit,6,2.88
WA380Z-6,steering pressure sensor+short circuit,6,2.88
WA380Z-6,back lamp relay+open circuit,4,1.92
WA380Z-6,"ecmv tm r-clutch+command curency on, fill signal off",4,1.92
WA380Z-6,idle validation sw error,4,1.92
WA380Z-6,monitor controller can communicaton+communication error (compo line),4,1.92
WA380Z-6,rail press low error,4,1.92
WA380Z-6,t/m controller can communication+communication error (compo line),4,1.92
WA380Z-6,tm shift lever+open circuit,4,1.92
WA380Z-6,air cleaner (1)+clogging,2,0.96
WA380Z-6,chg air temp high torque derate,2,0.96
WA380Z-6,coolant+decrease in quantity,2,0.96
WA380Z-6,"ecmv tm f-clutch+command curency on, fill signal off",2,0.96
WA380Z-6,forward & reverse lever+open circuit,2,0.96
WA380Z-6,parking brake+defective function,2,0.96
WA380Z-6,tm cut off pressure sensor+input signal out of scope,2,0.96
WA480-6,water in fuel sensor high error,56,19.93
WA480-6,ambient press sens low error,26,9.25
WA480-6,komtrax gps antenna cable+open circuit,18,6.41
WA480-6,t/m input shaft speed sensor+open circuit,16,5.69
WA480-6,tm shift lever+open circuit,14,4.98
WA480-6,air cleaner (1)+clogging,13,4.63
WA480-6,forward & reverse lever+open circuit,12,4.27
WA480-6,rail press low error,12,4.27
WA480-6,coolant+decrease in quantity,10,3.56
WA480-6,engine oil+decrease in quantity,10,3.56
WA480-6,egr valve pos sens low error,8,2.85
WA480-6,hydraulic oil+overheat,8,2.85
WA480-6,rail press very low error,8,2.85
WA480-6,alternator+defective function,6,2.14
WA480-6,hydraulic pump oil pressure sensor+short circuit,6,2.14
WA480-6,imv/pcv1 open error,6,2.14
WA480-6,eng bkup speed sensor error,4,1.42
WA480-6,hydraulic pump oil pressure sensor+open circuit,4,1.42
WA480-6,pcv2 open error,4,1.42
WA480-6,t/m controller output power line+source voltage drop,4,1.42
WA480-6,tm cut off switch+switch depressed too long,4,1.42
WA480-6,alternator+eng condition and signal not match,2,0.71
WA480-6,brake cooling oil(rear right)+overheat,2,0.71
WA480-6,c/r eng cntrlr can communication+communication error (compo line),2,0.71
WA480-6,coolant+overheat,2,0.71
WA480-6,cooling fan reverse rotation switch+switch depressed too long,2,0.71
WA480-6,eng oil press sensor low error,2,0.71
WA480-6,engine oil+low oil pressure,2,0.71
WA480-6,hydraulic fan speed sensor+open circuit,2,0.71
WA480-6,hydraulic fan speed sensor+rotating speed signal doesnt match,2,0.71
WA480-6,kickdwon switch+switch depressed too long,2,0.71
WA480-6,monitor controller op sensor 1+out put voltage drop,2,0.71
WA480-6,parking brake switch+on/off signal doesnt match,2,0.71
WA480-6,rail press sensor high error,2,0.71
WA480-6,rear accumulator+low oil pressure,2,0.71
WA480-6,steering pressure sensor+open circuit,2,0.71
WA480-6,tm shift controller+source voltage drop,2,0.71
WA500-6R,boom angle sensor+duplicate engagement of tm clutches,102,17.99
WA500-6R,tm shift lever+open circuit,56,9.88
WA500-6R,boom angle sensor+open circuit,42,7.41
WA500-6R,bucket positioner+on/off signal doesnt match,32,5.64
WA500-6R,forward & reverse lever+open circuit,24,4.23
WA500-6R,bottom oil pressure sensor+input signal out of scope,20,3.53
WA500-6R,"ecmv tm 2nd clutch+command curency on, fill signal off",18,3.17
WA500-6R,fan pump epc solenoid valve+open circuit,18,3.17
WA500-6R,brake oil temperature sensor(1)+open circuit,14,2.47
WA500-6R,monitor controller op sensor 1+out put voltage drop,14,2.47
WA500-6R,parking brake+defective function,14,2.47
WA500-6R,pump pc-epc valve+open circuit,12,2.12
WA500-6R,rail press low error,12,2.12
WA500-6R,komtrax gps antenna cable+open circuit,10,1.76
WA500-6R,air cleaner (1)+clogging,9,1.59
WA500-6R,chg air press sensor high error,8,1.41
WA500-6R,coolant+overheat,8,1.41
WA500-6R,hydraulic oil+overheat,8,1.41
WA500-6R,travel speed sensor+short circuit,8,1.41
WA500-6R,3rd clutch solenoid valve+open circuit,6,1.06
WA500-6R,boom angle sensor+short circut of power source line,6,1.06
WA500-6R,boom float magnet detent solenoid v+open circuit,6,1.06
WA500-6R,boom float magnet detent solenoid v+short circut of power source line,6,1.06
WA500-6R,boom up magnet deadened solenoid v+open circuit,6,1.06
WA500-6R,buket tilt magnet detent solenoid v+short circut of power source line,6,1.06
WA500-6R,coolant+decrease in quantity,6,1.06
WA500-6R,eng oil press sensor low error,6,1.06
WA500-6R,engine oil+low oil pressure,6,1.06
WA500-6R,hydraulic pump oil pressure sensor+open circuit,6,1.06
WA500-6R,parking brake switch+on/off signal doesnt match,6,1.06
WA500-6R,t/m input shaft speed sensor+rotating speed signal doesnt match,6,1.06
WA500-6R,t/m valve oil temperature sensor+open circuit,6,1.06
WA500-6R,tm cut off pressure sensor+input signal out of scope,6,1.06
WA500-6R,boom (main) epc potentiometer+analog signal doesnt match,4,0.71
WA500-6R,boom up magnet deadened solenoid v+short circut of power source line,4,0.71
WA500-6R,c terminal signal+open circut or short circuit,4,0.71
WA500-6R,"ecmv tm 1st clutch+command curency on, fill signal off",4,0.71
WA500-6R,epc potentiometer arm(main)+analog signal doesnt match,4,0.71
WA500-6R,kickdwon switch+switch depressed too long,4,0.71
WA500-6R,1st clutch solenoid valve+open circuit,2,0.35
WA500-6R,2nd clutch solenoid valve+open circuit,2,0.35
WA500-6R,c/r eng cntrlr can communication+communication error (compo line),2,0.35
WA500-6R,dump control switch+switch depressed too long,2,0.35
WA500-6R,"ecmv tm r-clutch+command curency off, fill signal on",2,0.35
WA500-6R,f clutch solenoid valve+open circuit,2,0.35
WA500-6R,r clutch solenoid valve+open circuit,2,0.35
WA500-6R,rail press sensor high error,2,0.35
WA500-6R,t/m controller output power line+source voltage drop,2,0.35
WA500-6R,t/m input shaft speed sensor+open circuit,2,0.35
WA500-6R,t/m valve oil temperature sensor+short circuit,2,0.35
WA500-6R,travel speed sensor+input signal out of scope,2,0.35
WA500-6R,w-equip cntrlr can communication+malfunction,2,0.35
WA500-6R,w-equip cntrlr output power line+source voltage drop,2,0.35
WA500-6R,3rd extend epc solenoid valve+open circuit,1,0.18
WA500-6R,3rd shrink epc solenoid valve+short circuit,1,0.18
WA600-3A,komtrax gps antenna cable+open circuit,6,100.0
WA800-3,komtrax gps antenna cable+open circuit,54,58.7
WA800-3,directional switch signal failure,22,23.91
WA800-3,vhms 12v source sys error,14,15.22
WA800-3,range switch signal failure,2,2.17
WA900-8R,boom angle sensor+duplicate engagement of tm clutches,20,15.38
WA900-8R,swing angle sensor+analog signal doesnt match,14,10.77
WA900-8R,coolant+decrease in quantity,10,7.69
WA900-8R,water in fuel sensor (l)+input signal out of scope,10,7.69
WA900-8R,komtrax plus controller+malfunction,8,6.15
WA900-8R,"komtrax plus,ethernet comm 2+communication error (compo line)",8,6.15
WA900-8R,steering angle sensor+open circuit,8,6.15
WA900-8R,wheel speed sensor (front wheel)+rotating speed signal doesnt match,8,6.15
WA900-8R,lubricating pressure sensor+input signal out of scope,6,4.62
WA900-8R,bucket angle sensor+open circuit,4,3.08
WA900-8R,engine oil+decrease in quantity,4,3.08
WA900-8R,joystick switch forward/reverse+open circuit,4,3.08
WA900-8R,steering pressure sensor+open circuit,4,3.08
WA900-8R,transmission middle clutch+overheat,4,3.08
WA900-8R,water in fuel sensor main or (r)+input signal out of scope,4,3.08
WA900-8R,air mix damper+malfunction,2,1.54
WA900-8R,hydraulic fan speed sensor+open circuit,2,1.54
WA900-8R,hydraulic fan speed sensor+rotating speed signal doesnt match,2,1.54
WA900-8R,monitor cntrlr can communicaton 2+communication error (compo line),2,1.54
WA900-8R,rear view monitor+communication error (compo line),2,1.54
WA900-8R,rod oil pressure sensor+open circuit,2,1.54
WA900-8R,trottle lock set/accelerator switch+short circuit,2,1.54
